date,lactation_yield
2020-05-07T16:18,43022.40133231
2020-05-07T16:19,43012.40133231
2020-05-07T17:13,42992.19864069707
2020-05-07T17:56,42992.19864069707
2020-05-07T17:57,42992.19864069707
2020-05-07T18:17,42992.19864069707
2020-05-07T18:17,42992.19864069707

2020-05-07T18:22,42992.19864069707
2020-05-07T18:22,42992.19864069707
2020-05-07T18:22,42992.19864069707
2020-05-07T18:23,42992.19864069707
2020-05-07T18:24,42992.19864069707
2020-05-07T18:24,42992.19864069707

2020-05-07T18:27,42992.19864069707
2020-05-07T18:27,42992.19864069707
2020-05-07T18:27,42992.19864069707
2020-05-07T19:36,42992.19864069707
2020-05-07T19:37,42992.19864069707
2020-05-07T19:37,42992.19864069707
2020-05-07T19:37,42992.19864069707
2020-05-07T19:46,63712.951691292415
2020-05-07T19:46,63712.951691292415
2020-05-07T20:05,63712.951691292415
2020-05-07T20:21,42992.19864069707
2020-05-07T20:29,42992.19864069707
2020-05-07T20:29,31481.373947321794
2020-05-07T20:30,36113.54343800436
2020-05-07T20:32,15812.359071841276
2020-05-07T20:32,57727.642825316616
2020-05-07T21:41,42992.19864069707
2020-05-07T21:42,42992.19864069707
2020-05-07T21:44,42992.19864069707
